attack_id,name,description,primary_logs,mitre_techniques,default_severity
AP-CVE-2009-0556,CVE-2009-0556 Exploitation,"Microsoft Office PowerPoint 2000 SP3, 2002 SP3, and 2003 SP3, and PowerPoint in Microsoft Office 2004 for Mac, allows remote attackers to execute arbitrary code via a PowerPoint file with an OutlineTe...",web_logs;system_logs,CWE-94,88
AP-CVE-2009-2055,CVE-2009-2055 Exploitation,"Cisco IOS XR 3.4.0 through 3.8.1 allows remote attackers to cause a denial of service (session reset) via a BGP UPDATE message with an invalid attribute, as demonstrated in the wild on 17 August 2009....",web_logs;system_logs,CWE-20,59
AP-CVE-2010-3035,CVE-2010-3035 Exploitation,"Cisco IOS XR 3.4.0 through 3.9.1, when BGP is enabled, does not properly handle unrecognized transitive attributes, which allows remote attackers to cause a denial of service (peering reset) via a cra...",web_logs;system_logs,NVD-CWE-noinfo,75
AP-CVE-2013-1801,CVE-2013-1801 Exploitation,"The httparty gem 0.9.0 and earlier for Ruby does not properly restrict casts of string values, which might allow remote attackers to conduct object-injection attacks and execute arbitrary code, or cau...",web_logs;system_logs,CWE-264,50
AP-CVE-2015-0666,CVE-2015-0666 Exploitation,"Directory traversal vulnerability in the fmserver servlet in Cisco Prime Data Center Network Manager (DCNM) before 7.1(1) allows remote attackers to read arbitrary files via a crafted pathname, aka Bu...",web_logs;system_logs,CWE-22,75
AP-CVE-2016-6366,CVE-2016-6366 Exploitation,"Buffer overflow in Cisco Adaptive Security Appliance (ASA) Software through 9.4.2.3 on ASA 5500, ASA 5500-X, ASA Services Module, ASA 1000V, ASAv, Firepower 9300 ASA Security Module, PIX, and FWSM dev...",web_logs;system_logs,CWE-120,88
AP-CVE-2016-6367,CVE-2016-6367 Exploitation,"Cisco Adaptive Security Appliance (ASA) Software before 8.4(1) on ASA 5500, ASA 5500-X, PIX, and FWSM devices allows local users to gain privileges via invalid CLI commands, aka Bug ID CSCtu74257 or E...",web_logs;system_logs,CWE-77,78
AP-CVE-2016-6415,CVE-2016-6415 Exploitation,"The server IKEv1 implementation in Cisco IOS 12.2 through 12.4 and 15.0 through 15.6, IOS XE through 3.18S, IOS XR 4.3.x and 5.0.x through 5.2.x, and PIX before 7.0 allows remote attackers to obtain s...",web_logs;system_logs,CWE-200,75
AP-CVE-2017-3881,CVE-2017-3881 Exploitation,"A vulnerability in the Cisco Cluster Management Protocol (CMP) processing code in Cisco IOS and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a reload of an affected d...",web_logs;system_logs,CWE-20,98
AP-CVE-2017-6742,CVE-2017-6742 Exploitation,"A vulnerability in the SNMP implementation of could allow an authenticated, remote attacker to cause a reload of the affected system or to remotely execute code. An attacker could exploit this vulnera...",web_logs;system_logs,CWE-119,88
AP-CVE-2017-12232,CVE-2017-12232 Exploitation,"A vulnerability in the implementation of a protocol in Cisco Integrated Services Routers Generation 2 (ISR G2) Routers running Cisco IOS 15.0 through 15.6 could allow an unauthenticated, adjacent atta...",web_logs;system_logs,CWE-399,65
AP-CVE-2017-12233,CVE-2017-12233 Exploitation,"Multiple vulnerabilities in the implementation of the Common Industrial Protocol (CIP) feature in Cisco IOS 12.4 through 15.6 could allow an unauthenticated, remote attacker to cause an affected devic...",web_logs;system_logs,CWE-20,75
