feature_name,source_field,log_source,datatype,description,required_for,example
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2009-0556,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2009-2055,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2010-3035,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2013-1801,10
path_depth_count,"count_matches(uri, '../')",web_logs,int,Count of directory traversal attempts,DET-CVE-2015-0666,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2016-6366,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2016-6367,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2016-6415,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-3881,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2017-6742,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12232,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12233,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12234,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12235,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12237,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12238,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2017-12240,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0147,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2017-12319,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2018-0151,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0154,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0155,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0156,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0158,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0159,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0161,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2018-0167,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2018-0171,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0172,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0173,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0174,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0175,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0179,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2018-0180,10
path_depth_count,"count_matches(uri, '../')",web_logs,int,Count of directory traversal attempts,DET-CVE-2018-0296,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2019-0543,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2019-2616,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2019-1429,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2019-4716,10
sql_keyword_count,"count_matches(payload, ['SELECT', 'UNION', 'DROP'])",web_logs,int,Count of SQL keywords in payload,DET-CVE-2020-0618,10
path_depth_count,"count_matches(uri, '../')",web_logs,int,Count of directory traversal attempts,DET-CVE-2020-11738,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2020-4430,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2020-16010,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2020-6572,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-31956,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33044,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33045,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-25743,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-23130,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2021-36193,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-24977,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-29834,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-33315,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-33316,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-33317,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-33318,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-33319,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-33320,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-26138,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-37969,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-32872,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-32912,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-41033,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-40684,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-36858,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-41128,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-3539,10
sql_keyword_count,"count_matches(payload, ['SELECT', 'UNION', 'DROP'])",web_logs,int,Count of SQL keywords in payload,DET-CVE-2020-36645,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-47443,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-47433,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33937,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33938,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33941,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33942,10
sql_keyword_count,"count_matches(payload, ['SELECT', 'UNION', 'DROP'])",web_logs,int,Count of SQL keywords in payload,DET-CVE-2023-33945,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33946,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33947,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33948,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-33949,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-3193,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-32409,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-2003,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-31852,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-3852,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-4785,10
payload_length,length(payload),system_logs,int,Length of the input string,DET-CVE-2023-4911,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-34975,10
sql_keyword_count,"count_matches(payload, ['SELECT', 'UNION', 'DROP'])",web_logs,int,Count of SQL keywords in payload,DET-CVE-2023-34976,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-5613,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-28802,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-49269,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-49270,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-49271,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2024-22049,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-50931,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-50932,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-5123,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-48219,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2022-48220,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-51787,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2023-37540,10
request_rate_1m,count(events),web_logs,int,Volume of requests in 1 minute,DET-CVE-2021-33141,10
